"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
440, "Line.l3", 400, 600, 104.1962277626, 69.4641518417332, 2.40177711982884, 416.784911050399, 272.118004441015, 311.853556017907 
440, "Line.l7", 400, 600, 102.610486749778, 68.4069911665184, 2.40177711982884, 410.44194699911, 272.118139626905, 311.853665196038 
440, "Line.sw1", 400, 600, 107.355406066597, 71.5702707110647, 2.40177711982884, 429.421624266388, 278.299292525402, 343.249297413723 
441, "Line.l115", 400, 600, 109.794910286068, 73.1966068573785, 2.40177711982884, 439.179641144271, 284.638179255353, 351.017250237714 
441, "Line.l3", 400, 600, 106.565164948047, 71.0434432986977, 2.40177711982884, 426.260659792186, 278.312921280235, 318.899521566775 
441, "Line.l7", 400, 600, 104.94362184785, 69.9624145652334, 2.40177711982884, 419.7744873914, 278.313065476444, 318.899637607698 
441, "Line.sw1", 400, 600, 109.794910166599, 73.1966067777323, 2.40177711982884, 439.179640666394, 284.638179576991, 351.017250053899 
442, "Line.l115", 400, 600, 111.188117619401, 74.1254117462671, 2.40177711982884, 444.752470477602, 288.269390396166, 355.441203123236 
442, "Line.l3", 400, 600, 107.918110602943, 71.9454070686287, 2.40177711982884, 431.672442411772, 281.862065885069, 322.912275041127 
442, "Line.l7", 400, 600, 106.276143319152, 70.8507622127679, 2.40177711982884, 425.104573276607, 281.862215052915, 322.912394850515 
442, "Line.sw1", 400, 600, 111.188117675474, 74.1254117836492, 2.40177711982884, 444.752470701895, 288.269390717316, 355.441203349659 
443, "Line.l115", 400, 600, 114.58403846256, 76.38935897504, 2.40177711982884, 458.33615385024, 296.707481458619, 365.876778702114 
443, "Line.l3", 400, 600, 111.2214009148, 74.1476006098663, 2.40177711982884, 444.885603659198, 290.109366226317, 332.389168497044 
443, "Line.l7", 400, 600, 109.532449275793, 73.0216328505285, 2.40177711982884, 438.129797103171, 290.109526507509, 332.389296806198 
443, "Line.l10", 400, 600, 101.077661677919, 67.3851077852791, 2.40177711982884, 404.310646711674, 283.518616358377, 332.389380010859 
443, "Line.sw1", 400, 600, 114.58403853571, 76.3893590238065, 2.40177711982884, 458.336154142839, 296.707481303497, 365.876778924194 
444, "Line.l115", 400, 600, 116.051020251838, 77.3673468345583, 2.40177711982884, 464.20408100735, 300.496055780669, 370.516210532401 
444, "Line.l3", 400, 600, 112.660342263115, 75.1068948420767, 2.40177711982884, 450.64136905246, 293.841524522595, 336.535958830652 
444, "Line.l7", 400, 600, 110.957173897033, 73.9714492646886, 2.40177711982884, 443.828695588131, 293.841688406822, 336.536089864004 
444, "Line.l10", 400, 600, 102.379645485352, 68.2530969902346, 2.40177711982884, 409.518581941407, 287.193926881298, 336.536174855744 
444, "Line.sw1", 400, 600, 116.051020256111, 77.3673468374073, 2.40177711982884, 464.204081024444, 300.49605554685, 370.516211427379 
445, "Line.l115", 400, 600, 117.912105063898, 78.6080700425987, 2.40177711982884, 471.648420255592, 305.361621450286, 376.454472033805 
445, "Line.l3", 400, 600, 114.468199074117, 76.3121327160779, 2.40177711982884, 457.872796296468, 298.599051055261, 341.928417679169 
445, "Line.l7", 400, 600, 112.738021951715, 75.1586813011434, 2.40177711982884, 450.95208780686, 298.599220933127, 341.928553275262 
445, "Line.l10", 400, 600, 104.026266207432, 69.3508441382883, 2.40177711982884, 416.10506482973, 291.842531014379, 341.928641270408 
445, "Line.sw1", 400, 600, 117.912105139475, 78.6080700929836, 2.40177711982884, 471.648420557901, 305.361621232542, 376.454472311629 
446, "Line.l115", 400, 600, 118.270232944656, 78.8468219631038, 2.40177711982884, 473.080931778623, 306.276789276215, 377.586370494708 
446, "Line.l3", 400, 600, 114.816261997557, 76.544174665038, 2.40177711982884, 459.265047990228, 299.493995645397, 342.957757186835 
446, "Line.l7", 400, 600, 113.080948268124, 75.3872988454158, 2.40177711982884, 452.323793072495, 299.494166629214, 342.957893635597 
446, "Line.l10", 400, 600, 104.343798453051, 69.5625323020341, 2.40177711982884, 417.375193812204, 292.71710294815, 342.957982191866 
446, "Line.sw1", 400, 600, 118.270233194092, 78.8468221293946, 2.40177711982884, 473.080932776368, 306.276789624767, 377.586370840702 
447, "Line.l115", 400, 600, 118.271924468394, 78.8479496455961, 2.40177711982884, 473.087697873577, 306.276994418278, 377.590113665058 
447, "Line.l3", 400, 600, 114.817936741061, 76.5452911607076, 2.40177711982884, 459.271746964245, 299.494203498538, 342.96142992421 
447, "Line.l7", 400, 600, 113.082609084366, 75.3884060562443, 2.40177711982884, 452.330436337466, 299.494374482842, 342.961566375778 
447, "Line.l10", 400, 600, 104.34541315843, 69.5636087722869, 2.40177711982884, 417.381652633721, 292.717317488191, 342.961654933861 
447, "Line.sw1", 400, 600, 118.271924486444, 78.8479496576293, 2.40177711982884, 473.087697945776, 306.276994119812, 377.590114264712 
448, "Line.l115", 400, 600, 113.576169639057, 75.7174464260381, 2.40177711982884, 454.304678556229, 294.125918785063, 362.734095701875 
448, "Line.l3", 400, 600, 110.255610228162, 73.503740152108, 2.40177711982884, 441.022440912648, 287.613484548585, 329.471554474929 
448, "Line.l7", 400, 600, 108.588068316794, 72.3920455445296, 2.40177711982884, 434.352273267177, 287.613640267137, 329.471679297504 
448, "Line.l10", 400, 600, 100.187496183827, 66.7916641225516, 2.40177711982884, 400.74998473531, 281.109072345974, 329.471760198894 
448, "Line.sw1", 400, 600, 113.576169576678, 75.7174463844523, 2.40177711982884, 454.304678306714, 294.12591857765, 362.734096247907 
449, "Line.l115", 400, 600, 110.782780161098, 73.8551867740651, 2.40177711982884, 443.131120644391, 286.865335619065, 353.855232044547 
449, "Line.l3", 400, 600, 107.542350947532, 71.6949006316879, 2.40177711982884, 430.169403790127, 280.515866013063, 321.415219731234 
449, "Line.l7", 400, 600, 105.91548419283, 70.6103227952202, 2.40177711982884, 423.661936771321, 280.516011957177, 321.415337116323 
449, "Line.sw1", 400, 600, 110.782780174479, 73.8551867829863, 2.40177711982884, 443.131120697918, 286.865335488808, 353.855232636207 
450, "Line.l115", 400, 600, 128.762344578427, 85.8415630522845, 2.40177711982884, 515.049378313707, 333.624394544688, 410.974557368009 
450, "Line.l3", 400, 600, 125.011346131973, 83.3408974213154, 2.40177711982884, 500.045384527893, 326.242582469655, 373.314677959594 
450, "Line.l7", 400, 600, 123.124989891173, 82.0833265941151, 2.40177711982884, 492.49995956469, 326.242783557165, 373.314837382436 
450, "Line.l10", 400, 600, 113.639974669563, 75.759983113042, 2.40177711982884, 454.559898678252, 318.861778505045, 373.31494103847 
450, "Line.sw1", 400, 600, 128.762344509153, 85.8415630061019, 2.40177711982884, 515.049378036611, 333.62439453651, 410.974557753436 
451, "Line.l115", 400, 600, 138.897873550865, 92.5985823672432, 2.40177711982884, 555.591494203459, 359.837083731118, 443.287832829178 
451, "Line.l3", 400, 600, 134.881882855337, 89.9212552368913, 2.40177711982884, 539.527531421348, 351.921823463017, 402.69588235064 
451, "Line.l7", 400, 600, 132.860724706321, 88.5738164708808, 2.40177711982884, 531.442898825285, 351.922048575595, 402.696057722714 
451, "Line.l10", 400, 600, 122.648506361659, 81.7656709077724, 2.40177711982884, 490.594025446635, 344.002949268372, 402.696171801709 
451, "Line.sw1", 400, 600, 138.897873497896, 92.5985823319305, 2.40177711982884, 555.591493991583, 359.837083900977, 443.287833441176 
452, "Line.l115", 400, 600, 135.870814284855, 90.5805428565699, 2.40177711982884, 543.483257139419, 351.923662480945, 433.65598739566 
452, "Line.l3", 400, 600, 131.939229186744, 87.9594861244958, 2.40177711982884, 527.756916746975, 344.177329355887, 393.926051111057 
452, "Line.l7", 400, 600, 129.961067079948, 86.640711386632, 2.40177711982884, 519.844268319792, 344.177547411448, 393.926221026989 
452, "Line.l10", 400, 600, 119.961953946484, 79.9746359643228, 2.40177711982884, 479.847815785937, 336.428871569146, 393.926331530957 
452, "Line.sw1", 400, 600, 135.87081421734, 90.5805428115598, 2.40177711982884, 543.483256869359, 351.923662977433, 433.655987913429 
453, "Line.l115", 400, 600, 129.241044587023, 86.1606963913485, 2.40177711982884, 516.964178348091, 334.971443793907, 412.851030949346 
453, "Line.l3", 400, 600, 125.49081309325, 83.6605420621669, 2.40177711982884, 501.963252373001, 327.591078811161, 374.989397586593 
453, "Line.l7", 400, 600, 123.604905272517, 82.4032701816778, 2.40177711982884, 494.419621090067, 327.591280535357, 374.989554845968 
453, "Line.l10", 400, 600, 114.063591487791, 76.0423943251938, 2.40177711982884, 456.254365951163, 320.211550221448, 374.989657047456 
453, "Line.sw1", 400, 600, 129.241044540273, 86.1606963601823, 2.40177711982884, 516.964178161094, 334.971444098836, 412.851031627089 
454, "Line.l115", 400, 600, 118.76276952722, 79.1751796848136, 2.40177711982884, 475.051078108882, 307.704202542343, 379.356423424852 
454, "Line.l3", 400, 600, 115.307037055429, 76.8713580369529, 2.40177711982884, 461.228148221717, 300.918220944875, 344.496887801122 
454, "Line.l7", 400, 600, 113.570846585543, 75.7138977236951, 2.40177711982884, 454.28338634217, 300.918392577117, 344.497024741652 
454, "Line.l10", 400, 600, 104.830730015707, 69.8871533438044, 2.40177711982884, 419.322920062826, 294.138171017186, 344.497113614886 
454, "Line.sw1", 400, 600, 118.7627694187, 79.1751796124666, 2.40177711982884, 475.051077674799, 307.704202355607, 379.356423608545 
455, "Line.l115", 400, 600, 102.767195300875, 68.5114635339167, 2.40177711982884, 411.0687812035, 266.672598833098, 328.784305904786 
455, "Line.sw1", 400, 600, 102.767195372891, 68.5114635819272, 2.40177711982884, 411.068781491563, 266.672598658417, 328.784306418776 
464, "Line.l115", 400, 600, 113.110406888499, 75.406937925666, 2.40177711982884, 452.441627553996, 292.878378987, 361.193688036125 
464, "Line.l3", 400, 600, 109.790068658382, 73.1933791055877, 2.40177711982884, 439.160274633526, 286.366091360863, 328.136961335516 
464, "Line.l7", 400, 600, 108.122600108467, 72.0817334056447, 2.40177711982884, 432.490400433868, 286.36624670845, 328.137085887716 
464, "Line.sw1", 400, 600, 113.110406775697, 75.4069378504646, 2.40177711982884, 452.441627102788, 292.878379097095, 361.193687716271 
465, "Line.l115", 400, 600, 115.655668006951, 77.1037786713007, 2.40177711982884, 462.622672027804, 299.51766207113, 369.296149715238 
465, "Line.l3", 400, 600, 112.262214160415, 74.8414761069431, 2.40177711982884, 449.048856641659, 292.856893799184, 335.494368846047 
465, "Line.l7", 400, 600, 110.55762539506, 73.7050835967068, 2.40177711982884, 442.230501580241, 292.85705761428, 335.494499836256 
465, "Line.l10", 400, 600, 102.025563565864, 68.0170423772429, 2.40177711982884, 408.102254263458, 286.202916875802, 335.494584806103 
465, "Line.sw1", 400, 600, 115.65566801768, 77.1037786784533, 2.40177711982884, 462.62267207072, 299.517662019231, 369.296150109239 
466, "Line.l115", 400, 600, 116.623685020105, 77.7491233467367, 2.40177711982884, 466.49474008042, 301.985450304134, 372.336671877401 
466, "Line.l3", 400, 600, 113.216671073905, 75.4777807159368, 2.40177711982884, 452.866684295621, 295.297813266708, 338.189131401565 
466, "Line.l7", 400, 600, 111.505204199645, 74.3368027997636, 2.40177711982884, 446.020816798582, 295.297979007627, 338.189263849626 
466, "Line.l10", 400, 600, 102.886466428899, 68.5909776192659, 2.40177711982884, 411.545865715595, 288.616846714146, 338.189349772731 
466, "Line.sw1", 400, 600, 116.623685105887, 77.7491234039249, 2.40177711982884, 466.49474042355, 301.98545011825, 372.336672469271 
467, "Line.l115", 400, 600, 116.366796413289, 77.5778642755261, 2.40177711982884, 465.467185653157, 301.317062337722, 371.531095838556 
467, "Line.l3", 400, 600, 112.967118208399, 75.3114121389328, 2.40177711982884, 451.868472833597, 294.644284081031, 337.458384043485 
467, "Line.l7", 400, 600, 111.259378758098, 74.172919172065, 2.40177711982884, 445.03751503239, 294.644448991031, 337.458515867477 
467, "Line.l10", 400, 600, 102.659144992028, 68.4394299946856, 2.40177711982884, 410.636579968114, 287.978291628408, 337.458601379725 
467, "Line.sw1", 400, 600, 116.366796442911, 77.5778642952743, 2.40177711982884, 465.467185771646, 301.317062133117, 371.531096444854 
468, "Line.l115", 400, 600, 114.451009258168, 76.3006728387784, 2.40177711982884, 457.80403703267, 296.399318899614, 365.514633065929 
468, "Line.l3", 400, 600, 111.105422086583, 74.0702813910554, 2.40177711982884, 444.421688346332, 289.83608007183, 331.995494977276 
468, "Line.l7", 400, 600, 109.42517017055, 72.9501134470335, 2.40177711982884, 437.700680682201, 289.836238746933, 331.995622051696 
468, "Line.l10", 400, 600, 100.96142163342, 67.3076144222803, 2.40177711982884, 403.845686533682, 283.280463341518, 331.995704436321 
468, "Line.sw1", 400, 600, 114.451009326191, 76.3006728841275, 2.40177711982884, 457.804037304765, 296.399318566719, 365.514633984943 
469, "Line.l115", 400, 600, 111.294913825879, 74.1966092172526, 2.40177711982884, 445.179655303515, 288.193912157609, 355.481817219319 
469, "Line.l3", 400, 600, 108.039780985653, 72.0265206571019, 2.40177711982884, 432.159123942611, 281.814530265794, 322.89082784491 
469, "Line.l7", 400, 600, 106.405449659483, 70.9369664396555, 2.40177711982884, 425.621798637933, 281.814678037673, 322.890946621456 
469, "Line.sw1", 400, 600, 111.294913930285, 74.1966092868566, 2.40177711982884, 445.17965572114, 288.193912419299, 355.481818013281 
470, "Line.l115", 400, 600, 109.788394633944, 73.1922630892958, 2.40177711982884, 439.153578535775, 284.272953078288, 350.691523186401 
470, "Line.l3", 400, 600, 106.576656747694, 71.0511044984625, 2.40177711982884, 426.306626990775, 277.982009848693, 318.546578263655 
470, "Line.l7", 400, 600, 104.964335336919, 69.9762235579459, 2.40177711982884, 419.857341347676, 277.982152174052, 318.546692903308 
