"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
203, 2667.83700785585, 745.645828987418, 3272.93515334597, 3455.58370440679, 53.4558202678295, 106.858264048377, 79.0608132174687
204, 2699.15204598397, 754.31918169522, 3272.93515334597, 3455.58370440679, 54.0547345481509, 108.048931644247, 79.0608132174687
205, 2657.52844438409, 727.831860127183, 3272.93515334597, 3455.58370440679, 52.4020547921548, 104.719793065014, 79.0608132174687
206, 2630.07121443631, 710.375724034147, 3272.93515334597, 3455.58370440679, 51.3310053043497, 102.563859958041, 79.0608132174687
207, 2593.3691059435, 687.074966971561, 3272.93515334597, 3455.58370440679, 49.9204487172127, 99.7242008617003, 79.0608132174687
208, 2612.56280204388, 699.261459167887, 3272.93515334597, 3455.58370440679, 50.6536598850364, 101.19966325265, 79.0608132174687
209, 2780.07930482855, 805.976467648704, 3272.93515334597, 3455.58370440679, 57.3580961781641, 114.698664597902, 79.0608132174687
210, 3038.58393157256, 972.120865870257, 3272.93515334597, 3455.58370440679, 68.7421787791166, 137.628303017562, 79.0608132174687
211, 3152.84768293162, 1027.6858674491, 3272.93515334597, 3455.58370440679, 73.1615173357073, 146.517651993987, 79.0608132174687
212, 3022.54327765241, 943.399383691026, 3272.93515334597, 3455.58370440679, 67.0835316998465, 134.271519949319, 79.0608132174687
213, 2875.6819929313, 855.754379846968, 3272.93515334597, 3455.58370440679, 60.658435381585, 121.328196342485, 79.0608132174687
214, 2669.11744647112, 727.328158016137, 3272.93515334597, 3455.58370440679, 52.236730589923, 104.371845801228, 79.0608132174687
215, 2422.82100424241, 581.829923190286, 3272.93515334597, 3455.58370440679, 43.2063946294362, 86.1792745993389, 79.0608132174687
